,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,smape@1,smape@5,smape@10,mae@1,mae@1,mae@1,mae@1,smape@1,smape@1,smape@1,smape@1,mae@5,mae@5,mae@5,mae@5,smape@5,smape@5,smape@5,smape@5,mae@10,mae@10,mae@10,mae@10,smape@10,smape@10,smape@10,smape@10,smape@1,smape@5,smape@10,mae@1,mae@1,mae@1,mae@1,smape@1,smape@1,smape@1,smape@1,mae@5,mae@5,mae@5,mae@5,smape@5,smape@5,smape@5,smape@5,mae@10,mae@10,mae@10,mae@10,smape@10,smape@10,smape@10,smape@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
"deep
base
base",0.6852206219913642,0.5903903622904367,0.5845036425246848,1338.0773502619227,81.95580497260066,152.89008920036292,52.53609457199137,0.6013450577497562,0.7700148712376131,0.7045584125455272,0.6649641464325607,1084.4736586043782,66.81823359551278,124.71144248590919,43.37834085486002,0.51073202373026,0.6676629930850789,0.6042328107757193,0.5789336215706885,1048.7021889356495,64.34498731938174,122.5636360131489,42.14263124823247,0.5009969446487974,0.6581534577656358,0.6002271184670135,0.5786370492172925,0.4976068642418836,0.4259677887840175,0.4216660461705744,70.11508588292392,6.464293800475793,9.013435814372153,2.7899486773522937,0.3685858747877246,0.6588979093741469,0.5029128332519444,0.4600308395537186,57.76011542847124,5.3155164864682485,7.541945726546335,2.36729676799804,0.3065908294209695,0.5652608761291394,0.42884070783109285,0.40317874175486795,56.88145643471391,5.227095682853469,7.409603279150406,2.2871455115682386,0.30217768920776256,0.5612514134526635,0.4246768338154141,0.3985582482064573,26.322431315678646,48.39899901976002
"deep
base_3_branches
base",0.6557676474429044,0.5864138723396018,0.5790008168031895,1282.2571936810095,77.00613507784526,144.78362116858332,50.72578570553229,0.5790325727594341,0.7345392936711375,0.6723890017944196,0.6371097215466262,1106.62965018344,68.05470795808336,126.13171549759386,43.78995104075297,0.513492090521835,0.6656560420097323,0.5980154252883059,0.5684919315385343,1076.642718462351,66.17588390163498,123.79632090357788,42.74969927442535,0.5052534722743993,0.6601652223219914,0.5878139729618392,0.5627705996545278,0.4515941253241632,0.41381738268426216,0.40776129771691183,63.012617458057505,5.950881882070975,7.914371160176117,2.4681181816937348,0.3294243146768071,0.6085714192888583,0.4556265393455042,0.41275422798548317,57.77133903136208,5.396805276472513,7.251771743987481,2.2908049679764515,0.3024104114339007,0.5567510176599426,0.4134880722363133,0.3826200294068919,56.49477680508114,5.2412193746500835,7.124786241589192,2.242784104701243,0.2976992005306803,0.549679041312711,0.40450288653467603,0.3791640624895799,26.217228625641663,49.604456563325186
"deep
direct
base",0.6882607653900199,0.5886231685175444,0.5796349235232934,1348.6423046677974,81.80336773299375,153.48305319168483,53.265339060865784,0.6023459047791421,0.780741815961317,0.7023465022425355,0.6676088385770852,1077.154300703352,65.8633315476186,126.13640216606058,43.6406132812585,0.508894919160887,0.6654378071957004,0.6040687656263344,0.5760911820872557,1035.2855971731683,63.739889983535164,121.8210454531482,41.78598679431625,0.4956838341145877,0.6562663323360517,0.5989228154354307,0.5676667122071037,0.49646549514866206,0.4237167054558966,0.41773695908180386,68.96406256225256,6.254455796444075,8.794265661501019,2.771430154935413,0.36873740050014797,0.6594901676267643,0.5022785230791826,0.4553558893885534,57.50043206411549,5.278324965537095,7.3983246310983235,2.3550787088220777,0.30600481355384895,0.5651997863970719,0.42246619958251114,0.40119602229015444,55.88814050621939,5.1329442854013765,7.28432289887287,2.27496028802907,0.29872827343889563,0.5578715611699212,0.4193055064190291,0.3950424952993697,26.59403215889551,49.35191193776428
"deep
direct_3_branches
base",0.6591643367896995,0.5876381860532447,0.5805372222541623,1304.7419579986636,77.29843344144182,148.22614169185783,50.72525224589369,0.5844098755617323,0.73691863517634,0.6752365658652374,0.6400922705554882,1107.2728845956558,67.69897190470387,128.01853998288362,44.220749212855466,0.5122645993828393,0.6669976663855872,0.5992084003618445,0.572082078082708,1081.5752814915556,65.96552989191113,125.15959527233751,43.07474896047107,0.5072053658545543,0.6580296588598668,0.5908244696473074,0.5660893946549205,0.45047126323303954,0.41203086612568196,0.4085363137006798,62.724662064665154,5.871856846448197,7.875852308077081,2.463239280122668,0.32944654341134816,0.6049071586338894,0.45816880393964704,0.40936254694727336,57.08112503836519,5.281496889700829,7.321883881855895,2.295399560757714,0.2998722681264107,0.5519983684622805,0.41508600261235284,0.3811668253016839,56.285372293243434,5.200719510135722,7.236931391593676,2.26407355024604,0.29716172349039055,0.5474562090404087,0.41044364670363853,0.37908367556828143,26.410728907958937,49.359466192362085
"deep
direct_ingrs
base",0.6827258963080973,0.586711835694714,0.5813285754469881,1312.1590397884108,81.0517961967396,150.24333538868265,51.99791517379655,0.5910405304718721,0.7871240859984496,0.6919176770347575,0.6608212917273102,1080.0978920107432,66.29558001417581,125.95537998960268,42.950606514730254,0.5070006898352921,0.6656226668227807,0.6035336895252934,0.5706902965954895,1046.9451191571252,64.17453873268668,123.45247431678212,41.584532139589456,0.4988881050816393,0.6581732388130949,0.6017934287692717,0.5664595291239465,0.4945455606954005,0.4235741540546782,0.4184638331692065,67.98015909743862,6.350141630226329,8.656754969443673,2.789905021075675,0.36229109533478243,0.6686050054794901,0.4884564991703358,0.45882964279699373,57.391148405837995,5.3182515371181305,7.412532351877394,2.3390687718141194,0.3052835925178989,0.5675933833105264,0.4217918264135125,0.3996278139767748,56.18175609557592,5.177247901432025,7.2994302069443755,2.2953517599481406,0.30007094308903315,0.5597697234578722,0.4173917760109885,0.3966228901189322,26.501330870496588,49.097970291228876
"deep
direct_ingrs_3_branches
base",0.6586921727486366,0.5879965642378014,0.5800047564939119,1301.5034374275808,77.86272405022046,146.3079099942544,51.76418275726798,0.5800480379078177,0.7386126514264142,0.6738584389522985,0.6422495627080158,1118.165152684162,67.8315747862167,127.87923125334444,44.09685364628173,0.5157262665585894,0.6663624778240624,0.5984009900410042,0.5714965225275499,1078.2240273801383,65.64666836190125,125.23867504129676,42.69380028861761,0.5063140383627823,0.6581914584521659,0.5921605502444227,0.5633529789162769,0.44903380996823244,0.4133508205673142,0.4085131452355704,62.21824545905839,5.9168333119780945,7.731157779698113,2.4672798548277863,0.32804597321984086,0.6087361938455353,0.4455617374959355,0.413791335311618,56.91516639684125,5.293627351010599,7.230286936320164,2.300596309171281,0.30054891414828244,0.5550737226847976,0.41183876489863025,0.3859418805375465,56.15884127322318,5.181266316691033,7.129634157500113,2.265284103166574,0.29737575505814595,0.5488100412220127,0.4050698580369015,0.38279692662522163,26.507644796768776,49.67483828078105
