,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,smape@1,smape@5,smape@10,mae@1,mae@1,mae@1,mae@1,smape@1,smape@1,smape@1,smape@1,mae@5,mae@5,mae@5,mae@5,smape@5,smape@5,smape@5,smape@5,mae@10,mae@10,mae@10,mae@10,smape@10,smape@10,smape@10,smape@10,smape@1,smape@5,smape@10,mae@1,mae@1,mae@1,mae@1,smape@1,smape@1,smape@1,smape@1,mae@5,mae@5,mae@5,mae@5,smape@5,smape@5,smape@5,smape@5,mae@10,mae@10,mae@10,mae@10,smape@10,smape@10,smape@10,smape@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
vlpcook,0.711704697462748,0.6002238731212093,0.5934623386105816,1362.1663881517095,82.92691894790607,154.55219916495062,52.481981950117934,0.624499862562539,0.7988607849371293,0.7166845972658038,0.7067735450855199,1086.17157946337,66.86443048237867,127.79348942913933,42.54318045064003,0.5169486170777194,0.6781152623123302,0.6150635179999465,0.5907680950948409,1050.6625381621607,64.93956077367477,123.14790600174456,41.46018917941645,0.5076761711249397,0.6733454871557328,0.603613054918608,0.5892146412430458,0.51970570449094,0.44569113327244825,0.4437271231547957,74.02639017373222,6.819574652186836,9.29983464512643,2.893754570716974,0.3891229851544055,0.6822535239468707,0.5132261595282172,0.49422014933426645,61.39662862835596,5.683947264476503,7.877139210802228,2.431864140984467,0.32493212297627,0.5906262945256721,0.4457182029880492,0.4214879125998018,59.80316865982386,5.5421729186568225,7.814704387895241,2.4007459278863656,0.31852116119971435,0.5878204933468428,0.44422813024774394,0.42433870782488137,25.607898068271766,46.9653784116462
"bert
base",0.7262798189486,0.6242366713503658,0.6120138887849486,1423.4006645165364,85.863143589029,164.91918291346838,55.80112400311111,0.6436085279024361,0.8013037614322847,0.744816604509069,0.7153903819506104,1160.6163043100892,72.33436111337952,131.5021799429134,46.73318647124927,0.5446168437975439,0.6993186211734131,0.6339870751812181,0.6190241452492878,1112.7190241698972,69.4054746226824,126.47488439037134,44.95170406376186,0.5313032576477954,0.6869649983464873,0.6211155572658673,0.6086717418796442,0.5252134595754181,0.4604868836925473,0.4518368000628592,75.34332625319898,6.680110842252223,9.495862819027517,2.9745519779855547,0.3960551208333483,0.6824236872457956,0.5305607693321098,0.49181426089041885,64.94618033824977,5.844412151015901,8.176612006400278,2.6005207797181895,0.33917533418642304,0.5998887345879217,0.4614544544395334,0.4414290115563111,63.198603273483606,5.67891394471935,7.96616523783628,2.54039946117864,0.33132958959341574,0.5894759463272538,0.4519888512010656,0.4345528131297019,22.570468341756495,41.33829096050665
"nutr_vlp
base",0.6829588089455181,0.5922855254335802,0.5833559334739167,1351.6926428599982,81.4307849234914,152.58628405122354,54.157953668544245,0.5995292977173045,0.7678491452737585,0.6992150441912421,0.6652417485997671,1102.6513649324452,67.07683813518979,126.60649647290165,44.8136463600986,0.5118678675250266,0.665611154025849,0.6070181050062852,0.58464497517716,1055.899074635494,64.66053372752799,123.38464347734067,42.595845344023296,0.4999750534696034,0.6565412238560644,0.5990386427418404,0.5778688138281584,0.491230395531061,0.4235109865579253,0.4189434973256024,68.11672823884659,6.226904064320666,8.54193605277743,2.774996170362106,0.36591156562072824,0.6496868294106822,0.4930678591856321,0.45625532790720147,57.07777393232962,5.23088588044095,7.462345680164753,2.4060042759648237,0.3040217459786974,0.5593836526490803,0.42413387391716034,0.4065046736867633,56.13961963037282,5.169323068539454,7.283391889742185,2.3336250394528486,0.29878478937229963,0.5550259807754162,0.4174480575031245,0.40451516165156925,26.61051438944678,49.15933033041185
"nutr_vlp_3_branches
base",0.6716524910289102,0.5894913369130823,0.5788382088130095,1312.7206206592584,80.1495851050121,149.3408445758296,52.14789739940985,0.5871212196436013,0.765207933960749,0.6893685886036173,0.6449122219076734,1092.5270816684433,67.23906306417197,126.35483392468417,43.078511517461216,0.5137723419022202,0.6696624326052715,0.6024973209777914,0.5720332521670461,1045.533461299199,64.05638096774867,123.51264538250015,41.270694612145434,0.49890158591400446,0.6533994369770153,0.5984313283688525,0.5646204839921659,0.484390996152866,0.4192854063777041,0.4119377741131299,68.11660285285927,6.304986247690949,8.601824866171935,2.6608424034571065,0.35989616941491603,0.6539731529812879,0.4880384881555546,0.4356561740597055,57.25070373132005,5.293463284305366,7.345816113085304,2.304365106155008,0.30270994421562925,0.5663078860327131,0.4162125987016377,0.3919111965608364,55.749200764166396,5.169041123993461,7.220376138424583,2.2457292242140925,0.29513428484609416,0.5561259823097922,0.41015528386277844,0.38633554543385457,26.246856869108115,48.440941806912626
"nutr_vlp_direct_ingrs
base",0.6826392664800699,0.5862549138487944,0.5768536241394273,1339.505397560469,80.18498984367014,151.50888655870807,53.55803139589819,0.6010639815651464,0.7711920358201964,0.6944059124551073,0.6638951360798298,1084.9966456449283,65.56406140819678,126.18808264331668,43.983842768697464,0.5082027300536894,0.6592878726114849,0.6005454771396681,0.5769835755903349,1043.2064255158803,63.673668504677465,122.67555268520442,42.10762284801819,0.4965421482693334,0.6502050706050323,0.5952581754523139,0.5654091022310298,0.493951820236024,0.4214357781556103,0.41500598162707325,68.14226299553222,6.155238359683784,8.497728510976248,2.700159878929045,0.3666898829768047,0.658003146324873,0.4948443076049579,0.4562699440374606,57.274075400478466,5.191413245008397,7.3652522798183035,2.336343022314058,0.30523577124623674,0.5609955888529639,0.4218162608687108,0.3976954916545297,55.941494624745815,5.090973598645749,7.221885363123291,2.2770095984234913,0.29850099117262113,0.5523284534115205,0.41676852810857995,0.3924259538155715,26.605309314374725,48.99014185518426
"nutr_vlp_direct_ingrs_3_branches
base",0.6664165294061775,0.584850516532339,0.5780614850328352,1279.8150716917644,79.34275912219606,143.8772817176805,51.2968288560716,0.5821696350782506,0.7596681504282918,0.6788228486615643,0.6450054834566028,1077.6176257686775,66.53842263567721,123.88395746819377,42.975875398041985,0.5080796146840332,0.666382052894396,0.5938379755617761,0.5711024229891506,1048.7125398750857,64.44067946354062,121.99656402132311,41.8079431953785,0.5004645670923935,0.6558915753219725,0.5928153928097782,0.5630744049071966,0.4811592401032612,0.4167343185562247,0.4098524319900513,68.25028896280699,6.3567947263619775,8.502452715163974,2.721538064114557,0.35509904264211267,0.6469543090307805,0.48095534054714495,0.4416282681930069,56.861836798350794,5.274417379457755,7.310660587259837,2.3159226559935004,0.30012743263832564,0.561689220224407,0.4150471889064074,0.3900734324557589,55.38700569215109,5.134424514676576,7.179679695339035,2.2446687875614235,0.2945968695025666,0.5540127386403084,0.40844255933369433,0.3823575604836357,26.116330322102254,48.58974575523879
"deep_nutr_vlp
base",0.6755927990093127,0.5844295960261854,0.5744508868858353,1309.152240352563,79.17224644347719,149.716710940524,51.41159617126554,0.590231016526654,0.768516946001121,0.6907382697939651,0.6528849637155109,1085.91016817673,66.75310438930026,125.52266417923337,42.55596976043434,0.5067690005216507,0.6633079398427553,0.5971260383263851,0.5705154054139501,1043.8950373999348,63.951653145238545,122.17119922108685,41.33202614290336,0.4965325051752956,0.6527644644654137,0.5887898106828552,0.5597167672197771,0.4793599629473156,0.41621421349748466,0.41068528738803367,67.29925199743913,6.299535214579345,8.31662162685726,2.6692368589792115,0.35545042258179693,0.6499555748199227,0.47285022033145596,0.43918363405608685,56.7266626885929,5.291689628390346,7.241251532521866,2.2966907210738454,0.30116114005339867,0.562072414730903,0.4107673876678461,0.3908559115377909,55.72142396481852,5.137092773545828,7.146558626058021,2.245519206313637,0.2973740397986799,0.5544052745071893,0.40588935117219277,0.3850724840740726,26.423306532717667,49.50978926756772
