,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,,
,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
ht base,0.8569719320889255,0.7209370827442534,0.705420051214593,0.6981223910726057,1264.8236668813267,76.52086126363376,146.59388104053127,48.34235628399551,1052.045434460921,65.58271566410956,120.54220648727156,41.15936964907219,1024.575275413202,63.985998025932915,118.59662677799984,40.410755410358554,1012.0203458834412,62.74528542988885,118.65101111921743,40.09777568214683,0.680707571418667,0.5841162296331638,0.5726623052236021,0.574957785984185,66.8045301620069,6.15303949625482,8.358173207854273,2.584286002584454,56.775235959116806,5.235198503808562,7.217552956539617,2.2517814105520357,55.287320703714286,5.110061249952744,7.121063324578639,2.223233378099688,55.45486485723012,5.097358041196737,7.207840360080765,2.238077181265405,27.66414273021627,51.373370056756215
tfood base,1.039891712867048,0.8217742840971329,0.7906712833843409,0.7835699159829588,1514.362216586934,92.05328628336517,170.89387879772423,62.24338345866769,1183.2301911521567,72.26310940498077,139.09304170869004,48.86152289171887,1135.284571529587,68.84170599480572,135.46790489012707,47.135506417906456,1119.6026532188946,68.00592381770088,135.3364951851331,46.766491973344905,0.8121624286913596,0.6676213163779241,0.6534720704071357,0.6641989119035108,78.73227105538328,7.106085389648849,10.20395955903286,3.1914653848154666,63.63275674801625,5.74819075417198,8.605811352329741,2.6628961878885744,62.32299058194078,5.573681180588751,8.53283193495178,2.6070310258656884,63.38873858460177,5.59415280667617,8.804477060996055,2.6547873446594368,23.30857687503313,43.528574125712794
vlpcook base,0.9219499246969136,0.7463053982062866,0.7234027339328605,0.7179317883220406,1362.1663881517095,82.92691894790607,154.55219916495062,52.481981950117934,1086.17157946337,66.86443048237867,127.79348942913933,42.54318045064003,1050.6625381621607,64.93956077367477,123.14790600174456,41.46018917941645,1037.5636756426736,64.0122773837167,123.30052044433552,41.34451882798601,0.7568973479140532,0.6333726669359248,0.6214386485574077,0.6280978121606151,74.02639017373222,6.819574652186836,9.29983464512643,2.893754570716974,61.39662862835596,5.683947264476503,7.877139210802228,2.431864140984467,59.80316865982386,5.5421729186568225,7.814704387895241,2.4007459278863656,60.56885414105751,5.552175186554371,7.972117141240727,2.430563611276107,25.607898068271766,46.9653784116462
clip img test,1.0567536196025122,0.8182946563876388,0.7803784910212483,0.7640386926341752,1525.6571003707934,91.64858748049879,175.93084135474442,64.47953552071336,1172.8577840031967,72.248382084417,140.7276185758588,47.98876829200854,1114.4300511364866,68.75490170501277,135.70147044116428,45.58326750316941,1092.6014758983258,67.40644902419209,131.80211558966218,44.82461544201563,0.9066122288504925,0.7215134866676857,0.6968255340116201,0.6887895218621051,88.27643238052912,7.832430059018189,11.042599555228342,3.6852324663002993,68.85172054275061,6.301379174528809,8.929860452581323,2.9157817904592354,66.48806681607813,6.036053478172145,8.770871093631872,2.8078385458587203,66.02264561654047,5.928775825099824,8.660723700564201,2.7863576171863986,19.677654725578225,34.86008886788958
clip text test,1.0092730305273068,0.7935368667926341,0.7595683274706168,0.7463181999845373,1492.9930455832807,89.9904460374802,170.8071534654688,57.4489396897384,1143.2317349592975,70.71184925478335,135.27466517655003,46.1901196808808,1096.9763920255625,67.30470447294125,130.53376146019875,44.0508938240406,1076.4432788390375,66.08959665203804,128.16447896719723,43.39912055768429,0.9248655692871663,0.7169877075602352,0.6941296146077561,0.6839720457778353,92.62809960931668,7.915235155503953,11.953520320676434,3.535746412350746,69.8061375659362,6.208992154067733,9.390445403151874,2.7487476728730065,67.42491782883228,5.978978522462053,9.108682746236061,2.6800970810243383,66.44626825904147,5.858959860855336,9.024123265331335,2.646361157960203,19.866368968962643,36.128683933068565
clip text_img test,0.968976404562321,0.7709331400338661,0.7449677514836386,0.7333033156162834,1405.7381835805613,85.75418838970683,158.95134722490045,58.328252982285456,1107.1109378584044,68.508162462286,130.73845886039098,45.37005041932231,1068.2985124529166,65.50741721778296,128.1176850736444,43.85736081674582,1050.3749296963517,64.72947036163882,126.36481243420947,42.96532780002932,0.851051835930551,0.6877422619526921,0.6655796444185813,0.6598212574341525,84.93820249882346,7.357152049440843,10.757966491674901,3.283354343580651,66.7536307253329,6.00554178401916,8.725666818748895,2.685382831636541,64.48259757378592,5.806706904887937,8.484007172439892,2.596789373240252,64.02158346861833,5.719911317089656,8.383263390503041,2.59685744829376,21.56863610487098,39.86986919342874
deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only,0.8590134771822732,0.7241459204632349,0.7035664547270161,0.6947662064973252,1270.3453941543964,78.62113203391819,143.3331521795928,48.08145325880829,1060.2642203560288,65.33333802584866,121.73866691919882,41.379999680942284,1025.8635980361516,63.204418618326905,119.2241475588306,40.28943908563672,1009.7010818998626,62.19699886922499,117.96118947413133,40.011633541952875,0.6842736636902154,0.5793148001004758,0.571141293810443,0.5700879662770612,67.33680528553131,6.216079786172677,8.319271290872434,2.594143872337775,56.07693855416369,5.189679889149094,7.172186460043271,2.2401162497309226,55.18745412307387,5.094467823923155,7.121673590094931,2.21192644286835,54.936060575255624,5.060239889027987,7.168896069612999,2.2124295886574834,27.480533208101043,51.963534945380076
