,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,,
,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only,0.8590134771822732,0.7241459204632349,0.7035664547270161,0.6947662064973252,1270.3453941543964,78.62113203391819,143.3331521795928,48.08145325880829,1060.2642203560288,65.33333802584866,121.73866691919882,41.379999680942284,1025.8635980361516,63.204418618326905,119.2241475588306,40.28943908563672,1009.7010818998626,62.19699886922499,117.96118947413133,40.011633541952875,0.6842736636902154,0.5793148001004758,0.571141293810443,0.5700879662770612,67.33680528553131,6.216079786172677,8.319271290872434,2.594143872337775,56.07693855416369,5.189679889149094,7.172186460043271,2.2401162497309226,55.18745412307387,5.094467823923155,7.121673590094931,2.21192644286835,54.936060575255624,5.060239889027987,7.168896069612999,2.2124295886574834,27.480533208101043,51.963534945380076
deep_ht direct_ingrs_3_branches no_nutr_triplet food_test_recipe_only,0.8613921297177323,0.7255977559735047,0.7036740426407566,0.695485379621336,1273.7341574913528,78.50492795016883,143.67163269722542,48.47793024293485,1062.2066604278234,65.56994345738123,121.75474524636363,41.46476053922982,1023.9766193657086,63.517150324739205,118.45217557206787,40.40646630552786,1009.9854984761558,62.28353027104324,118.08831819770398,40.06764795646172,0.6871819290712047,0.5825097752693367,0.5723130413318128,0.574207972669202,67.5250738983097,6.250451910526527,8.318101861923562,2.6134149138292875,56.5616635483165,5.219295939484879,7.202221205137914,2.2475097349496957,55.348811067257365,5.115521295348693,7.108177315401001,2.215672351243742,55.45730827838351,5.092393191569272,7.209233252205796,2.2287987097554023,27.546880587324512,51.902082588263056
deep_ht base no_nutr food_test_recipe_only,0.8641990121594986,0.7218586402217545,0.7039705204243287,0.6969427376553521,1272.4766272378408,79.25122679911081,144.00173864700588,48.55365860271699,1054.506294452072,65.39308302382466,122.31194151787506,40.865573428816305,1025.820539097826,63.41734391711985,119.62177785244577,40.111247491151204,1013.7498094067445,62.66371690189645,118.76810189141942,39.770026168987485,0.6809688570039616,0.5786346290206086,0.5689777816687,0.5709305564758937,66.15147620620687,6.1617565739051905,8.422679591942202,2.593098008941197,55.76256986608852,5.20791982511709,7.22212921659628,2.2198778966276858,54.80816253677409,5.097346121950889,7.1301012038146725,2.1896211581338205,55.08469665272169,5.098245200324993,7.173333797277473,2.1981734480612496,27.484800316133317,51.73331316601486
deep_ht direct_ingrs_3_branches no_nutr_ingrs_only food_test_recipe_only,0.8651770089091164,0.7215647639333901,0.7036338342084244,0.6961255126924262,1281.7537774157959,79.0720342416398,144.32667598596277,48.42187868755225,1052.661301310774,65.10741965857336,121.41958404303041,41.35338097503688,1024.7791119291649,63.39687847241954,118.92993072498206,40.3029824767438,1012.5627198786904,62.23720542689918,118.13209253132693,40.129515316588915,0.6841436224930988,0.5804677580730427,0.5728573693431154,0.5722673683089097,67.03700541000482,6.191355853544611,8.293286571350043,2.623164834812969,56.15258342548511,5.185817958632328,7.191237509801576,2.25243811802088,55.22863557219179,5.1220008195050895,7.127428326414969,2.220522415709275,55.12585676840454,5.071462821013195,7.185575576154712,2.2286091166292166,27.462326899823243,52.075845098403036
