,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
deep_ht direct_ingrs_3_branches base food_test_recipe_only,0.8642379166305789,0.7271138387548447,0.7060373835957581,1277.848439294929,79.27335024764857,144.03248756840406,48.31111074426185,1061.5036067060594,65.62698979230363,120.87673712136457,42.07959735294479,1025.937423457605,63.48048405007702,118.36214702657509,40.93387980945306,0.6807960393989572,0.5797832621011503,0.5678563730234953,66.67371941139453,6.215115445803989,8.392581478767395,2.54898100651655,56.23081854971259,5.211455518231967,7.127105466437535,2.2405429257899914,54.741895410812134,5.0714683911665155,7.061753132519751,2.205273664115793,26.66821416520656,50.34278537208202
deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only,0.8577483795633077,0.7227396665291901,0.7040961183140624,1271.0330895071029,78.36282230974246,143.24381157242087,47.96788304431833,1056.775105288509,65.228066586365,121.51599845037275,41.34016329027275,1026.0510112835668,63.38042623062777,119.00740973065191,40.34619569779827,0.6784614336476157,0.5784342928782967,0.5703012891772854,66.64713660215989,6.140889359259374,8.25185640098697,2.5878803962503327,55.972404359489474,5.1778085083187735,7.167762796286813,2.2380369191363445,55.09211373354847,5.090361623784247,7.10544517230932,2.2087762107006648,27.477523661169005,51.95767222193187
deep_ht direct_ingrs_3_branches triplet food_test_recipe_only,0.8748996891285384,0.7287701280493988,0.7064347939770276,1295.0693977179428,79.56590128043186,143.6150118632954,50.01186344741914,1063.3541909816172,65.52752423226696,120.99332677265157,42.42701028860807,1027.1758348633225,63.349040038476254,118.46281954489197,41.038763864896985,0.6722762433434007,0.5811469375278719,0.5667045961533183,65.92433759654277,6.075054252182823,8.245145338968868,2.5575323848854574,56.27816580406313,5.208382132260959,7.202164516351329,2.2433021543221843,54.76974664611854,5.030772732731707,7.034707547116194,2.2149060257336974,26.85992493274786,50.51304486375696
deep_ht base_3_branches base food_test_recipe_only,0.8771556941000045,0.7304731970059476,0.7067431551976259,1298.6542726398015,80.83399758409851,144.0693329021908,49.34079114896241,1064.044443073603,65.73870259635899,121.74438972604898,42.41632279708059,1029.0799998090893,63.71381696051783,118.27508081865147,40.82654305522849,0.6767887103288197,0.5791314777425631,0.5686193065321348,66.18575507483054,6.230475479417573,8.329240544348922,2.5130320891813454,56.04730938819673,5.217461033514781,7.18737725405983,2.219834369234743,54.95509245078568,5.0758580635938975,7.0796748589408995,2.2021704579146912,26.91522971886367,50.435434816935576
deep_ht direct_ingrs base food_test_recipe_only,0.8525713894783242,0.7273015011514924,0.7047017054180106,1257.035648230724,77.73221402540892,142.38036431367968,48.05790039606307,1063.5935818039452,65.80206174751437,121.91198414428106,41.59209700390023,1027.1767730314118,63.363780820470396,119.04660626530728,40.44117327064517,0.6776916821712786,0.57946666733006,0.5699231192853664,66.30284554841633,6.108157730533241,8.323259191854103,2.589679880291071,56.15191420653327,5.188082461302853,7.166432486021104,2.2418231985843122,55.08252487082615,5.072259592756401,7.1305827104500565,2.2070316226325017,27.605395407483662,52.12616512232427
deep_ht direct_ingrs_3_branches ingrs_only food_test_recipe_only,0.8639505081201124,0.7271208388583397,0.7086068865640065,1280.107900482306,78.83878018674561,144.5412545691529,48.30443098981597,1061.043625624728,65.60828126416462,120.6760993838316,42.17565770095663,1029.0257575606208,63.71115037768606,118.85604974113038,41.09092505229646,0.6801237219767104,0.5809498588853661,0.5685203224048754,66.72103451367154,6.175506876491822,8.412587943608324,2.553344204249006,56.32530345461577,5.220218776701457,7.17499242219372,2.238630779779505,54.767716216969546,5.067977585356227,7.079405755412571,2.212124229361527,26.702705299598744,50.411860120681965
