,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
deep base base,0.9127309314442426,0.745389027636004,0.7233737771457992,1338.0773502619227,81.95580497260066,152.89008920036292,52.53609457199137,1084.4736586043782,66.81823359551278,124.71144248590919,43.37834085486002,1048.7021889356495,64.34498731938174,122.5636360131489,42.14263124823247,0.7234822487195903,0.601971873738693,0.5894018587989723,70.11508588292392,6.464293800475793,9.013435814372153,2.7899486773522937,57.76011542847124,5.3155164864682485,7.541945726546335,2.36729676799804,56.88145643471391,5.227095682853469,7.409603279150406,2.2871455115682386,26.322431315678646,48.39899901976002
deep base_3_branches base,0.8693449730752117,0.7567362844630021,0.7381587376219736,1282.2571936810095,77.00613507784526,144.78362116858332,50.72578570553229,1106.62965018344,68.05470795808336,126.13171549759386,43.78995104075297,1076.642718462351,66.17588390163498,123.79632090357788,42.74969927442535,0.6496855907185907,0.5953303913731179,0.5815923850514335,63.012617458057505,5.950881882070975,7.914371160176117,2.4681181816937348,57.77133903136208,5.396805276472513,7.251771743987481,2.2908049679764515,56.49477680508114,5.2412193746500835,7.124786241589192,2.242784104701243,26.217228625641663,49.604456563325186
deep direct base,0.9180304790389917,0.7441350237894728,0.7166380084565553,1348.6423046677974,81.80336773299375,153.48305319168483,53.265339060865784,1077.154300703352,65.8633315476186,126.13640216606058,43.6406132812585,1035.2855971731683,63.739889983535164,121.8210454531482,41.78598679431625,0.7086354378741635,0.5969817068487396,0.5808792192822918,68.96406256225256,6.254455796444075,8.794265661501019,2.771430154935413,57.50043206411549,5.278324965537095,7.3983246310983235,2.3550787088220777,55.88814050621939,5.1329442854013765,7.28432289887287,2.27496028802907,26.59403215889551,49.35191193776428
deep direct_3_branches base,0.8787535724404926,0.760057355167784,0.7415596385069294,1304.7419579986636,77.29843344144182,148.22614169185783,50.72525224589369,1107.2728845956558,67.69897190470387,128.01853998288362,44.220749212855466,1081.5752814915556,65.96552989191113,125.15959527233751,43.07474896047107,0.6452814279791291,0.5909693699172689,0.5827920396364373,62.724662064665154,5.871856846448197,7.875852308077081,2.463239280122668,57.08112503836519,5.281496889700829,7.321883881855895,2.295399560757714,56.285372293243434,5.200719510135722,7.236931391593676,2.26407355024604,26.410728907958937,49.359466192362085
deep direct_ingrs base,0.8995873958697805,0.7428137196017095,0.721325971134574,1312.1590397884108,81.0517961967396,150.24333538868265,51.99791517379655,1080.0978920107432,66.29558001417581,125.95537998960268,42.950606514730254,1046.9451191571252,64.17453873268668,123.45247431678212,41.584532139589456,0.7085877733935757,0.5972879612046672,0.5847250501570445,67.98015909743862,6.350141630226329,8.656754969443673,2.789905021075675,57.391148405837995,5.3182515371181305,7.412532351877394,2.3390687718141194,56.18175609557592,5.177247901432025,7.2994302069443755,2.2953517599481406,26.501330870496588,49.097970291228876
deep direct_ingrs_3_branches base,0.8818103831485721,0.7617048763614422,0.7384695160908997,1301.5034374275808,77.86272405022046,146.3079099942544,51.76418275726798,1118.165152684162,67.8315747862167,127.87923125334444,44.09685364628173,1078.2240273801383,65.64666836190125,125.23867504129676,42.69380028861761,0.6435954083175555,0.5898866107098705,0.5801965565327561,62.21824545905839,5.9168333119780945,7.731157779698113,2.4672798548277863,56.91516639684125,5.293627351010599,7.230286936320164,2.300596309171281,56.15884127322318,5.181266316691033,7.129634157500113,2.265284103166574,26.507644796768776,49.67483828078105
