,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,,
,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
reranked_100 ht base,0.8757327799204637,0.7499235389338476,0.7262795581903172,0.729254656349564,1322.3521415893888,76.668587004948,151.82960782958986,48.61902712690309,1107.4027541933744,66.62765816507655,129.41155586263523,42.17331304986152,1067.2704855071017,64.39539952929222,125.64252646208563,41.062582530951026,1066.6359324392824,64.49473129975205,126.38863335456695,41.48891192026262,0.5717874673344943,0.5531156847082397,0.5491954211259789,0.5753639676612698,55.25368168793924,5.045488885417277,7.257589034274283,2.213014357083574,53.86342650400199,4.906928018120209,6.982375634993372,2.119990358635456,53.30444977669249,4.846417904312259,6.963471326475048,2.1182417319055333,55.69394763579703,5.036637303315088,7.323704674299799,2.2399994824790688,26.028092958054412,46.29634126677251
reranked_100_wo_nutr ht base,0.9114651816680082,0.7838567640548462,0.7628234505643985,0.7479867148019279,1343.6601416899848,81.09191502445398,157.83154816020743,51.107139061696365,1147.5227633344612,69.42942438955842,136.0657895195686,44.41055623099854,1114.588194119597,67.55210988648102,131.75752424862978,43.521191143885474,1091.7696856403234,66.38418279960742,129.4190860721718,42.54904440309383,0.7240115861572071,0.6234255770486965,0.6077295834036721,0.5995664068277139,70.67271071187986,6.354923544674944,9.142359104325873,2.8046133450942317,60.22890575926755,5.475633068624075,7.956422930187661,2.4167340883170976,58.45200649840043,5.284795647371126,7.794565283923882,2.385119532503918,57.6400237837018,5.18750264680659,7.695126719476346,2.366999710050049,32.231715389170304,52.01161809477638
reranked_100_wo_ingr ht base,0.8951997567167781,0.7567281212374021,0.7341837107090813,0.7152615336678502,1360.426091868564,78.90815824900388,153.57007258673764,49.45111501063404,1121.176044162464,67.71287636552992,130.5958439003596,42.05048641356966,1083.8415081710564,65.66822766600167,126.19598729558106,41.13936957060927,1050.291927219303,63.937772192150724,122.97873078133246,40.33221183600616,0.5687076797348053,0.5561962249635732,0.5522217361046646,0.5472868412842571,55.174958194125914,5.046223823302361,7.187010824058944,2.1852672677496914,54.33836854771024,4.976165307214389,6.965929905250257,2.11585023087714,54.13353713305583,4.929132561799028,6.91301055533901,2.100639429666526,53.59388625021787,4.880963092926945,6.856461725106479,2.0849664394988827,22.006616345176788,41.08534586282319
