,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
ht base,0.8569719320889255,0.7209370827442534,0.705420051214593,1264.8236668813267,76.52086126363376,146.59388104053127,48.34235628399551,1052.045434460921,65.58271566410956,120.54220648727156,41.15936964907219,1024.575275413202,63.985998025932915,118.59662677799984,40.410755410358554,0.680707571418667,0.5841162296331638,0.5726623052236021,66.8045301620069,6.15303949625482,8.358173207854273,2.584286002584454,56.775235959116806,5.235198503808562,7.217552956539617,2.2517814105520357,55.287320703714286,5.110061249952744,7.121063324578639,2.223233378099688,27.66414273021627,51.373370056756215
deep_ht base triplet food_test_recipe_only,0.8690573074688954,0.7197244557410913,0.7000094559857726,1279.2940622580174,79.60544905078874,144.97280864045445,48.85681634487,1052.819400485258,65.12319103519398,122.40784617889037,40.59904856927452,1014.80131294609,63.353324423725844,118.84949861364707,39.92667189360483,0.6860304668354621,0.5786725864557417,0.569594415542019,66.76017744729172,6.196328160983972,8.446403806143717,2.623280516090609,56.066585648088875,5.19277471125162,7.1871958951571004,2.2253719962719614,54.85176312937109,5.1110852065711265,7.09965533075454,2.197351766339817,27.643609682453775,51.30274633857833
deep_ht base base food_test_recipe_only,0.873315784761203,0.7277431148549782,0.7024069042472828,1287.3629071779021,80.33310500543101,144.79879102284167,49.04921181832824,1067.0010019250558,66.00484733044796,122.99747385401217,41.07349219266036,1023.3852092044991,63.45862172989838,119.39847479407533,39.884853257328885,0.6876219462419922,0.5780011830223069,0.5669560407798918,67.0187484954357,6.222120030682296,8.480826074598026,2.6156915252506505,55.80532838133815,5.181287430016595,7.243948554456945,2.217594998601117,54.683313362683656,5.072401195021968,7.105471250881709,2.182673057027591,27.514454860991926,51.50102203507213
deep_ht base_3_branches base food_test_recipe_only,0.8771556941000045,0.7304731970059476,0.7067431551976259,1298.6542726398015,80.83399758409851,144.0693329021908,49.34079114896241,1064.044443073603,65.73870259635899,121.74438972604898,42.41632279708059,1029.0799998090893,63.71381696051783,118.27508081865147,40.82654305522849,0.6767887103288197,0.5791314777425631,0.5686193065321348,66.18575507483054,6.230475479417573,8.329240544348922,2.5130320891813454,56.04730938819673,5.217461033514781,7.18737725405983,2.219834369234743,54.95509245078568,5.0758580635938975,7.0796748589408995,2.2021704579146912,26.91522971886367,50.435434816935576
deep_ht direct_ingrs_3_branches ingrs_only food_test_recipe_only,0.8639505081201124,0.7271208388583397,0.7086068865640065,1280.107900482306,78.83878018674561,144.5412545691529,48.30443098981597,1061.043625624728,65.60828126416462,120.6760993838316,42.17565770095663,1029.0257575606208,63.71115037768606,118.85604974113038,41.09092505229646,0.6801237219767104,0.5809498588853661,0.5685203224048754,66.72103451367154,6.175506876491822,8.412587943608324,2.553344204249006,56.32530345461577,5.220218776701457,7.17499242219372,2.238630779779505,54.767716216969546,5.067977585356227,7.079405755412571,2.212124229361527,26.702705299598744,50.411860120681965
deep_ht direct_ingrs_3_branches base food_test_recipe_only,0.8642379166305789,0.7271138387548447,0.7060373835957581,1277.848439294929,79.27335024764857,144.03248756840406,48.31111074426185,1061.5036067060594,65.62698979230363,120.87673712136457,42.07959735294479,1025.937423457605,63.48048405007702,118.36214702657509,40.93387980945306,0.6807960393989572,0.5797832621011503,0.5678563730234953,66.67371941139453,6.215115445803989,8.392581478767395,2.54898100651655,56.23081854971259,5.211455518231967,7.127105466437535,2.2405429257899914,54.741895410812134,5.0714683911665155,7.061753132519751,2.205273664115793,26.66821416520656,50.34278537208202
