,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
deep_ht direct_ingrs_3_branches base food_test_recipe_only,0.863579874361298,0.7251675387171151,0.7050405561467051,1275.137114680819,78.84362497384797,143.08725125613051,48.86950810065366,1058.3755454676248,65.39930610562851,120.59661985176463,42.003091648821616,1024.0230507101844,63.450407115483934,118.15667451901614,40.86469726229921,0.6774459199586407,0.5796069301021185,0.5653783500949803,66.11201340770215,6.143681825686376,8.393625324435074,2.5571816723330065,56.07788325947824,5.195105338813997,7.180247376939173,2.2397126332923945,54.448762439321506,5.046048109527936,7.062032083736914,2.19202359684679,26.783240035949095,50.536948652850356
deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only,0.8590134771822732,0.7241459204632349,0.7035664547270161,1270.3453941543964,78.62113203391819,143.3331521795928,48.08145325880829,1060.2642203560288,65.33333802584866,121.73866691919882,41.379999680942284,1025.8635980361516,63.204418618326905,119.2241475588306,40.28943908563672,0.6842736636902154,0.5793148001004758,0.571141293810443,67.33680528553131,6.216079786172677,8.319271290872434,2.594143872337775,56.07693855416369,5.189679889149094,7.172186460043271,2.2401162497309226,55.18745412307387,5.094467823923155,7.121673590094931,2.21192644286835,27.480533208101043,51.963534945380076
deep_ht direct_ingrs_3_branches triplet food_test_recipe_only,0.8721522889630248,0.7262525674451841,0.7050821634552112,1287.624764617156,79.2250144231155,143.398649792258,49.990556534414324,1059.7925117723992,65.3811114202444,120.71278210510148,42.176092006850325,1024.9346074809105,63.337798866258964,117.83471726594613,41.01582709580275,0.6725922203835454,0.5771018100667075,0.564130006278523,65.9388770985136,6.06862472157606,8.33037810667496,2.544808997875376,56.01883447146692,5.149579405121154,7.160097138865343,2.232816622112768,54.5471929437973,5.008867602510117,7.009677097644194,2.201662017859869,27.025303506416915,50.78785312619568
deep_ht base_3_branches base food_test_recipe_only,0.8683323777642165,0.7272788991089604,0.7048484076130318,1286.5261342330848,79.43186872198875,144.03886165871677,48.79291813665944,1060.8392421518947,65.28964155920967,121.47370773011728,42.20563830579136,1024.5332109408635,63.41543913543714,118.1503308218687,40.82506821067237,0.678583983880833,0.5812450494480506,0.5676569172837524,66.22887515934332,6.216463361105987,8.420818662677501,2.5245012371900266,56.186609030995925,5.236616084831961,7.220679113865524,2.228672070340711,54.790387195790316,5.068961152727001,7.081147514188956,2.1970417920173064,26.669759233018098,50.13734045545299
deep_ht direct_ingrs base food_test_recipe_only,0.8547923066750849,0.7245966550994227,0.7043682272873757,1262.4431639791892,77.68368168641993,143.36102464584994,48.08644835776075,1059.287983538369,65.43366560732062,121.58310258251765,41.50283383138582,1026.4341477896896,63.358982484150246,119.07659697616153,40.38824797458328,0.6783794323363114,0.5782818893899859,0.5723902772197262,66.52111964183737,6.115578681453988,8.265563721642136,2.60176732866616,56.07575261096023,5.169175728190345,7.16286986606012,2.237561364039049,55.295064480480995,5.099562561425536,7.1458119030931915,2.2184588801118363,27.568450151807372,51.92681311986308
deep_ht direct_ingrs_3_branches ingrs_only food_test_recipe_only,0.8645959133218017,0.7260467987900645,0.7054457156802817,1279.7827530577274,78.78636768196469,143.4584747015061,48.84000682836716,1056.952804104019,65.39296429873868,119.98466014992424,42.46231546532342,1026.06439904661,63.396694598563194,118.29592113500561,40.86986516599554,0.6777051035471293,0.5837448998771613,0.5675706528390931,66.32601910553329,6.130460360388966,8.369433568936493,2.56590301685111,56.25993284211557,5.236456949708159,7.22471872967677,2.263394188934541,54.73621209533362,5.0728411357969,7.0650388618554025,2.1995725164188964,26.544565368309865,50.422281808701364
