,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
vlpcook,0.9219499246969136,0.7463053982062866,0.7234027339328605,1362.1663881517095,82.92691894790607,154.55219916495062,52.481981950117934,1086.17157946337,66.86443048237867,127.79348942913933,42.54318045064003,1050.6625381621607,64.93956077367477,123.14790600174456,41.46018917941645,0.7568973479140532,0.6333726669359248,0.6214386485574077,74.02639017373222,6.819574652186836,9.29983464512643,2.893754570716974,61.39662862835596,5.683947264476503,7.877139210802228,2.431864140984467,59.80316865982386,5.5421729186568225,7.814704387895241,2.4007459278863656,25.607898068271766,46.9653784116462
bert base,0.9695172469210528,0.7989931113504574,0.7673382194273474,1423.4006645165364,85.863143589029,164.91918291346838,55.80112400311111,1160.6163043100892,72.33436111337952,131.5021799429134,46.73318647124927,1112.7190241698972,69.4054746226824,126.47488439037134,44.95170406376186,0.763616974739277,0.6634899416383391,0.6461392199817175,75.34332625319898,6.680110842252223,9.495862819027517,2.9745519779855547,64.94618033824977,5.844412151015901,8.176612006400278,2.6005207797181895,63.198603273483606,5.67891394471935,7.96616523783628,2.54039946117864,22.570468341756495,41.33829096050665
nutr_vlp base,0.9200626081916319,0.7580071255017409,0.7286238959648941,1351.6926428599982,81.4307849234914,152.58628405122354,54.157953668544245,1102.6513649324452,67.07683813518979,126.60649647290165,44.8136463600986,1055.899074635494,64.66053372752799,123.38464347734067,42.595845344023296,0.7018466073066427,0.5985834027276019,0.58658256402854,68.11672823884659,6.226904064320666,8.54193605277743,2.774996170362106,57.07777393232962,5.23088588044095,7.462345680164753,2.4060042759648237,56.13961963037282,5.169323068539454,7.283391889742185,2.3336250394528486,26.61051438944678,49.15933033041185
nutr_vlp_3_branches base,0.8963922249624137,0.7489864230735284,0.7194568540672428,1312.7206206592584,80.1495851050121,149.3408445758296,52.14789739940985,1092.5270816684433,67.23906306417197,126.35483392468417,43.078511517461216,1045.533461299199,64.05638096774867,123.51264538250015,41.270694612145434,0.6980881271554009,0.5927684093377706,0.578894875593879,68.11660285285927,6.304986247690949,8.601824866171935,2.6608424034571065,57.25070373132005,5.293463284305366,7.345816113085304,2.304365106155008,55.749200764166396,5.169041123993461,7.220376138424583,2.2457292242140925,26.246856869108115,48.440941806912626
nutr_vlp_direct_ingrs base,0.9101192215115369,0.7461516643592361,0.7203361315034884,1339.505397560469,80.18498984367014,151.50888655870807,53.55803139589819,1084.9966456449283,65.56406140819678,126.18808264331668,43.983842768697464,1043.2064255158803,63.673668504677465,122.67555268520442,42.10762284801819,0.6938391175557175,0.5916381691949143,0.5786993252170108,68.14226299553222,6.155238359683784,8.497728510976248,2.700159878929045,57.274075400478466,5.191413245008397,7.3652522798183035,2.336343022314058,55.941494624745815,5.090973598645749,7.221885363123291,2.2770095984234913,26.605309314374725,48.99014185518426
nutr_vlp_direct_ingrs_3_branches base,0.8772895532664416,0.74051635172812,0.721505650165547,1279.8150716917644,79.34275912219606,143.8772817176805,51.2968288560716,1077.6176257686775,66.53842263567721,123.88395746819377,42.975875398041985,1048.7125398750857,64.44067946354062,121.99656402132311,41.8079431953785,0.7026311207399136,0.5913354912584979,0.5760753283864544,68.25028896280699,6.3567947263619775,8.502452715163974,2.721538064114557,56.861836798350794,5.274417379457755,7.310660587259837,2.3159226559935004,55.38700569215109,5.134424514676576,7.179679695339035,2.2446687875614235,26.116330322102254,48.58974575523879
deep_nutr_vlp base,0.8901287351902072,0.7430104283345969,0.7173541738533481,1309.152240352563,79.17224644347719,149.716710940524,51.41159617126554,1085.91016817673,66.75310438930026,125.52266417923337,42.55596976043434,1043.8950373999348,63.951653145238545,122.17119922108685,41.33202614290336,0.6919479830251024,0.5892666513679718,0.5765388992683451,67.29925199743913,6.299535214579345,8.31662162685726,2.6692368589792115,56.7266626885929,5.291689628390346,7.241251532521866,2.2966907210738454,55.72142396481852,5.137092773545828,7.146558626058021,2.245519206313637,26.423306532717667,49.50978926756772
