,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
deep base vlpcook,0.8981003939239381,0.7383270804299312,0.7168351363122206,1319.4473860872408,80.14372126301042,153.19662842764996,51.08704368221275,1072.0195175948922,66.04095391463962,124.6574365846651,42.81678223024017,1037.6669132461645,64.26885802069995,121.80040464304628,41.358196897209986,0.7314907100822822,0.6060696857584678,0.5951295098818731,71.19757436286608,6.58330995084792,9.113561039564237,2.783486770057043,58.16785282952894,5.3604223825353365,7.621994396405412,2.3712635507628352,57.41023986895242,5.269427679287392,7.497312822588386,2.3110687831981283,26.782327495463154,49.213520399456286
deep base triplet,0.919272504042117,0.746573826394973,0.7215602819879916,1348.943098840669,82.44618155061318,154.53364999077584,52.76043809313662,1083.6262518372087,66.70257535966145,125.42443390884485,43.55708601843727,1044.9295443471287,64.39839352235582,122.18719251921897,41.95208707734909,0.7312633088024849,0.6078767386677861,0.5944109096987528,70.718410809709,6.533695396472269,9.0320866086157,2.8446023631612585,58.412837131224535,5.3518240751579125,7.609849959713756,2.3972015885463716,57.156318880141704,5.251021145487354,7.495602136803011,2.320057965156785,26.46137776084363,48.618492679287435
deep base base,0.9152630332648867,0.7460267899945163,0.7242745747883688,1337.6793350987987,82.26550133813869,153.16815167405838,52.840705191570414,1084.01122877122,66.7061551932278,124.91332027539858,43.56646559966872,1050.4095660909206,64.41442019756337,122.74586159342918,42.17679329833541,0.7300344770242261,0.6043363870090566,0.5919999446580793,70.61867615431417,6.497430119385704,9.103723060085379,2.8318349741983075,58.003081003763725,5.318354219431888,7.5703037511421645,2.3859916582573475,57.09665325462747,5.238506207781073,7.4619683305853215,2.300110254569128,26.327371545238236,48.46398899043326
deep base_3_branches base,0.8805683919088695,0.7415370127438494,0.7185083274731887,1289.4626944212455,78.56230730296924,147.36912733710957,51.150836547040576,1084.6694755997328,66.2654937163636,125.9433004803212,42.482906221942216,1046.909119822601,64.27810728167518,122.4370137821504,41.160361496759,0.7031032605657559,0.590355313189008,0.5781719220916054,68.10843915272554,6.411365699027944,8.512537742089313,2.7024342357543865,57.47736150276449,5.252577742485191,7.362876146063739,2.2765120436979425,56.3784677969315,5.194984355910177,7.1393831689011025,2.2160454766929574,26.318425275017905,49.156424042365686
deep direct_ingrs_3_branches ingrs_only,0.8904407567069828,0.7421910735322339,0.7186112724099338,1306.9625187550253,78.93960943907538,150.224915436994,51.58848406738956,1085.2289152040626,66.4683759660276,125.72912211322082,42.533154633955476,1043.8592269636522,64.20299031508898,122.28593353302172,41.41346103677164,0.6970816899067218,0.5914235757666412,0.5777870001228508,67.68801365564275,6.316284621619473,8.442583080291607,2.693964491376913,57.13207411969709,5.306910889814749,7.290855585543473,2.2942111203471276,55.95354149439336,5.157361112324798,7.151160233649179,2.243804187290458,26.402096177331934,49.21877864074416
deep direct_ingrs_3_branches base,0.8937811913725511,0.7399603429166242,0.7173232193010787,1314.0455894930067,79.49516706632924,150.03309490199996,51.73556748324816,1080.0364759871804,66.47280067624756,124.81629688680529,42.504112343757804,1042.6752984056393,63.94571412257942,122.23767075198027,41.360006989407026,0.6918066038878625,0.5885973541090711,0.5771556229329554,67.08657192861858,6.263006755853055,8.341040812297285,2.6889893455202762,56.702809247582444,5.272856530912684,7.2794150235085695,2.2882816245406596,55.799493699994976,5.143301381391123,7.162782532705386,2.244769172915009,26.480284745205612,49.45733006131583
