,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,,
,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
ht base,0.8569719320889255,0.7209370827442534,0.705420051214593,0.6981223910726057,1264.8236668813267,76.52086126363376,146.59388104053127,48.34235628399551,1052.045434460921,65.58271566410956,120.54220648727156,41.15936964907219,1024.575275413202,63.985998025932915,118.59662677799984,40.410755410358554,1012.0203458834412,62.74528542988885,118.65101111921743,40.09777568214683,0.680707571418667,0.5841162296331638,0.5726623052236021,0.574957785984185,66.8045301620069,6.15303949625482,8.358173207854273,2.584286002584454,56.775235959116806,5.235198503808562,7.217552956539617,2.2517814105520357,55.287320703714286,5.110061249952744,7.121063324578639,2.223233378099688,55.45486485723012,5.097358041196737,7.207840360080765,2.238077181265405,27.66414273021627,51.373370056756215
deep_ht base no_nutr_triplet food_test_recipe_only,0.8617720895450014,0.7225321761090987,0.7037884936693116,0.6958909017670264,1265.6820853573076,79.37513798976845,142.24253060729055,48.71988658930316,1056.784572535423,65.58965531771305,122.61124709088209,40.69489741712781,1025.3552605637956,63.59060744581262,119.41593504111724,40.02668699340024,1011.625821945132,62.630763224840635,118.70517010034655,39.6550494019134,0.6844790085451788,0.5801055476985013,0.5694662999354986,0.57356051443939,66.81136163176971,6.223503710581459,8.340924692113422,2.6082069791548363,56.0617632005777,5.230178993629765,7.265540316876265,2.208622748597251,54.86919725738264,5.107963659600213,7.122277734480996,2.1909593462164976,55.258796460628574,5.120135207017506,7.211828884414396,2.2108948155062973,27.610812986496796,51.625692427303996
deep_ht base no_nutr food_test_recipe_only,0.8641990121594986,0.7218586402217545,0.7039705204243287,0.6969427376553521,1272.4766272378408,79.25122679911081,144.00173864700588,48.55365860271699,1054.506294452072,65.39308302382466,122.31194151787506,40.865573428816305,1025.820539097826,63.41734391711985,119.62177785244577,40.111247491151204,1013.7498094067445,62.66371690189645,118.76810189141942,39.770026168987485,0.6809688570039616,0.5786346290206086,0.5689777816687,0.5709305564758937,66.15147620620687,6.1617565739051905,8.422679591942202,2.593098008941197,55.76256986608852,5.20791982511709,7.22212921659628,2.2198778966276858,54.80816253677409,5.097346121950889,7.1301012038146725,2.1896211581338205,55.08469665272169,5.098245200324993,7.173333797277473,2.1981734480612496,27.484800316133317,51.73331316601486
deep_ht direct_ingrs_3_branches no_nutr_ingrs_only food_test_recipe_only,0.8651770089091164,0.7215647639333901,0.7036338342084244,0.6961255126924262,1281.7537774157959,79.0720342416398,144.32667598596277,48.42187868755225,1052.661301310774,65.10741965857336,121.41958404303041,41.35338097503688,1024.7791119291649,63.39687847241954,118.92993072498206,40.3029824767438,1012.5627198786904,62.23720542689918,118.13209253132693,40.129515316588915,0.6841436224930988,0.5804677580730427,0.5728573693431154,0.5722673683089097,67.03700541000482,6.191355853544611,8.293286571350043,2.623164834812969,56.15258342548511,5.185817958632328,7.191237509801576,2.25243811802088,55.22863557219179,5.1220008195050895,7.127428326414969,2.220522415709275,55.12585676840454,5.071462821013195,7.185575576154712,2.2286091166292166,27.462326899823243,52.075845098403036
deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only,0.8590134771822732,0.7241459204632349,0.7035664547270161,0.6947662064973252,1270.3453941543964,78.62113203391819,143.3331521795928,48.08145325880829,1060.2642203560288,65.33333802584866,121.73866691919882,41.379999680942284,1025.8635980361516,63.204418618326905,119.2241475588306,40.28943908563672,1009.7010818998626,62.19699886922499,117.96118947413133,40.011633541952875,0.6842736636902154,0.5793148001004758,0.571141293810443,0.5700879662770612,67.33680528553131,6.216079786172677,8.319271290872434,2.594143872337775,56.07693855416369,5.189679889149094,7.172186460043271,2.2401162497309226,55.18745412307387,5.094467823923155,7.121673590094931,2.21192644286835,54.936060575255624,5.060239889027987,7.168896069612999,2.2124295886574834,27.480533208101043,51.963534945380076
