,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
ht base,0.8569719320889255,0.7209370827442534,0.705420051214593,1264.8236668813267,76.52086126363376,146.59388104053127,48.34235628399551,1052.045434460921,65.58271566410956,120.54220648727156,41.15936964907219,1024.575275413202,63.985998025932915,118.59662677799984,40.410755410358554,0.680707571418667,0.5841162296331638,0.5726623052236021,66.8045301620069,6.15303949625482,8.358173207854273,2.584286002584454,56.775235959116806,5.235198503808562,7.217552956539617,2.2517814105520357,55.287320703714286,5.110061249952744,7.121063324578639,2.223233378099688,27.66414273021627,51.373370056756215
deep_ht base triplet food_test_recipe_only,0.869088850894272,0.7259049842042533,0.705265342810866,1276.1198674376192,80.05325410786983,144.3497736346558,48.867403554674574,1061.9049855453534,66.0807370395877,122.6967538727863,40.893516029514686,1026.250064127712,63.64736533451894,119.73135134860279,40.19885267533599,0.6862378157173711,0.5817111419427723,0.5704485188265435,66.71679098557715,6.220642016145496,8.444803464800758,2.6154287951950264,56.181393075682735,5.234567678984607,7.283888586589691,2.2219462673236974,55.07632413800824,5.107686875316421,7.139546750146767,2.1941257075126437,27.70236220965876,51.58952997114204
deep_ht base base food_test_recipe_only,0.873293882567941,0.7278430417562629,0.7053054612829028,1288.952481628652,80.65962458219926,145.66654066004554,48.47606057247068,1064.3241572290722,66.06031421475167,122.9309310199366,41.190365154829564,1027.0034168122756,63.5646151564062,120.25047174620833,40.07667615993192,0.6865614715221234,0.5804454561057364,0.5663863433482197,67.12365515682103,6.259020601496095,8.409642824570621,2.5926325788507065,56.05379937058791,5.208753380860525,7.2279726816878505,2.23470677110316,54.5908223977666,5.061790490886951,7.091162393486749,2.186605964908072,27.61849761599075,51.80173701541442
deep_ht base_3_branches base food_test_recipe_only,0.8683323777642165,0.7272788991089604,0.7048484076130318,1286.5261342330848,79.43186872198875,144.03886165871677,48.79291813665944,1060.8392421518947,65.28964155920967,121.47370773011728,42.20563830579136,1024.5332109408635,63.41543913543714,118.1503308218687,40.82506821067237,0.678583983880833,0.5812450494480506,0.5676569172837524,66.22887515934332,6.216463361105987,8.420818662677501,2.5245012371900266,56.186609030995925,5.236616084831961,7.220679113865524,2.228672070340711,54.790387195790316,5.068961152727001,7.081147514188956,2.1970417920173064,26.669759233018098,50.13734045545299
deep_ht direct_ingrs_3_branches ingrs_only food_test_recipe_only,0.8645959133218017,0.7260467987900645,0.7054457156802817,1279.7827530577274,78.78636768196469,143.4584747015061,48.84000682836716,1056.952804104019,65.39296429873868,119.98466014992424,42.46231546532342,1026.06439904661,63.396694598563194,118.29592113500561,40.86986516599554,0.6777051035471293,0.5837448998771613,0.5675706528390931,66.32601910553329,6.130460360388966,8.369433568936493,2.56590301685111,56.25993284211557,5.236456949708159,7.22471872967677,2.263394188934541,54.73621209533362,5.0728411357969,7.0650388618554025,2.1995725164188964,26.544565368309865,50.422281808701364
deep_ht direct_ingrs_3_branches base food_test_recipe_only,0.863579874361298,0.7251675387171151,0.7050405561467051,1275.137114680819,78.84362497384797,143.08725125613051,48.86950810065366,1058.3755454676248,65.39930610562851,120.59661985176463,42.003091648821616,1024.0230507101844,63.450407115483934,118.15667451901614,40.86469726229921,0.6774459199586407,0.5796069301021185,0.5653783500949803,66.11201340770215,6.143681825686376,8.393625324435074,2.5571816723330065,56.07788325947824,5.195105338813997,7.180247376939173,2.2397126332923945,54.448762439321506,5.046048109527936,7.062032083736914,2.19202359684679,26.783240035949095,50.536948652850356
