,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
deep base base,0.9152630332648867,0.7460267899945163,0.7242745747883688,1337.6793350987987,82.26550133813869,153.16815167405838,52.840705191570414,1084.01122877122,66.7061551932278,124.91332027539858,43.56646559966872,1050.4095660909206,64.41442019756337,122.74586159342918,42.17679329833541,0.7300344770242261,0.6043363870090566,0.5919999446580793,70.61867615431417,6.497430119385704,9.103723060085379,2.8318349741983075,58.003081003763725,5.318354219431888,7.5703037511421645,2.3859916582573475,57.09665325462747,5.238506207781073,7.4619683305853215,2.300110254569128,26.327371545238236,48.46398899043326
deep base_3_branches base,0.8805683919088695,0.7415370127438494,0.7185083274731887,1289.4626944212455,78.56230730296924,147.36912733710957,51.150836547040576,1084.6694755997328,66.2654937163636,125.9433004803212,42.482906221942216,1046.909119822601,64.27810728167518,122.4370137821504,41.160361496759,0.7031032605657559,0.590355313189008,0.5781719220916054,68.10843915272554,6.411365699027944,8.512537742089313,2.7024342357543865,57.47736150276449,5.252577742485191,7.362876146063739,2.2765120436979425,56.3784677969315,5.194984355910177,7.1393831689011025,2.2160454766929574,26.318425275017905,49.156424042365686
deep direct base,0.9186238670052989,0.7429810223778048,0.718273352881212,1346.2698720149738,81.91621162856674,152.68057687358268,53.67014249224061,1074.507155930705,65.92060167754963,125.96264206858758,43.492819972110446,1036.001025377126,63.99668259286529,121.89459587218504,41.93348056685419,0.7122695513127908,0.5991391510754791,0.5848286052569401,69.17565430854656,6.258841574718095,8.849076741398719,2.803644558825948,57.66161101708047,5.3049707234542165,7.416682587398811,2.3633139297408396,56.17029711479869,5.157625846681727,7.348936812989995,2.29604281615618,26.614424925181694,49.265067255329534
deep direct_3_branches base,0.8883852626746808,0.7502020266212376,0.7205759492022502,1302.38477743128,79.07244247654782,149.44244386670707,51.44247311014168,1095.8056322952175,66.6970913042527,127.64328451425015,43.22039008832085,1046.6543336104482,63.87510839707316,123.65182940617859,41.57432210782637,0.6956725281861986,0.5927942618882461,0.5772326121843552,68.4821208971614,6.307230532282963,8.477994264104815,2.638287368988069,57.5639130221321,5.306890856182898,7.370265656265889,2.2796772289515492,55.76470495343372,5.142482804448082,7.218820281297908,2.2342576302675194,26.856057345032585,49.45297590800745
deep direct_ingrs base,0.9029292849967739,0.7427402388839605,0.7227075317880536,1315.1574057366468,81.67485290131317,149.5646674926814,52.418391473185416,1078.7704934227686,66.26420869852586,125.98540062369015,43.00258447570012,1047.2791976338308,64.32186037445355,123.31230946982197,41.83265808939677,0.7133711609368478,0.6004064651005454,0.5890044702073376,68.38384965761337,6.374484021996119,8.713092051250944,2.821323934165905,57.662556213426534,5.332551216644628,7.444895465454705,2.3611314328031066,56.53254471482331,5.201832255276876,7.354266056686749,2.3212814866862486,26.519674968346486,48.935549395347834
deep direct_ingrs_3_branches base,0.8937811913725511,0.7399603429166242,0.7173232193010787,1314.0455894930067,79.49516706632924,150.03309490199996,51.73556748324816,1080.0364759871804,66.47280067624756,124.81629688680529,42.504112343757804,1042.6752984056393,63.94571412257942,122.23767075198027,41.360006989407026,0.6918066038878625,0.5885973541090711,0.5771556229329554,67.08657192861858,6.263006755853055,8.341040812297285,2.6889893455202762,56.702809247582444,5.272856530912684,7.2794150235085695,2.2882816245406596,55.799493699994976,5.143301381391123,7.162782532705386,2.244769172915009,26.480284745205612,49.45733006131583
