,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mase@1,mase@5,mase@10,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,,
,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
deep direct_ingrs_3_branches no_nutr,0.8917377654905339,0.7350419145951369,0.7109304664219152,1305.796490423976,80.82292526764695,149.32827810631144,50.86449688632151,1068.3838077234902,65.7533736893748,126.15705084097179,41.943423210040365,1031.8755350657607,63.60223556138701,121.50910879969565,40.78147088099131,0.7161302923527204,0.5999622923327281,0.5846997042184057,68.91418723672724,6.480611394931473,8.73203161170501,2.781772542625499,57.84294184438877,5.332589525984054,7.535815114955677,2.3255347587087796,56.24373315216384,5.177379354895613,7.303568937509624,2.291525483897479,26.915735286610122,49.55297609611583
deep direct_ingrs_3_branches triplet,0.8890902173369295,0.744689688110384,0.7164447459735651,1306.0378842138316,79.22462421177312,151.0726840218569,50.844634946272585,1086.5424209748123,66.64330766334636,125.21109125194884,43.09897368027793,1042.5884166075648,63.8386223857403,122.10934035222687,41.27333312559387,0.6958928772518549,0.5893089251034952,0.5794533536566426,67.7927310342203,6.306243717967136,8.419059309322831,2.6827457585602192,56.71830335616679,5.2655704013389055,7.2840288488432225,2.3014345457257956,55.971284765978105,5.144837239149769,7.206954627752741,2.2620616184211384,26.364484499830233,49.20111110679542
deep base_3_branches base,0.8805683919088695,0.7415370127438494,0.7185083274731887,1289.4626944212455,78.56230730296924,147.36912733710957,51.150836547040576,1084.6694755997328,66.2654937163636,125.9433004803212,42.482906221942216,1046.909119822601,64.27810728167518,122.4370137821504,41.160361496759,0.7031032605657559,0.590355313189008,0.5781719220916054,68.10843915272554,6.411365699027944,8.512537742089313,2.7024342357543865,57.47736150276449,5.252577742485191,7.362876146063739,2.2765120436979425,56.3784677969315,5.194984355910177,7.1393831689011025,2.2160454766929574,26.318425275017905,49.156424042365686
deep direct_ingrs base,0.9029292849967739,0.7427402388839605,0.7227075317880536,1315.1574057366468,81.67485290131317,149.5646674926814,52.418391473185416,1078.7704934227686,66.26420869852586,125.98540062369015,43.00258447570012,1047.2791976338308,64.32186037445355,123.31230946982197,41.83265808939677,0.7133711609368478,0.6004064651005454,0.5890044702073376,68.38384965761337,6.374484021996119,8.713092051250944,2.821323934165905,57.662556213426534,5.332551216644628,7.444895465454705,2.3611314328031066,56.53254471482331,5.201832255276876,7.354266056686749,2.3212814866862486,26.519674968346486,48.935549395347834
deep direct_ingrs_3_branches ingrs_only,0.8904407567069828,0.7421910735322339,0.7186112724099338,1306.9625187550253,78.93960943907538,150.224915436994,51.58848406738956,1085.2289152040626,66.4683759660276,125.72912211322082,42.533154633955476,1043.8592269636522,64.20299031508898,122.28593353302172,41.41346103677164,0.6970816899067218,0.5914235757666412,0.5777870001228508,67.68801365564275,6.316284621619473,8.442583080291607,2.693964491376913,57.13207411969709,5.306910889814749,7.290855585543473,2.2942111203471276,55.95354149439336,5.157361112324798,7.151160233649179,2.243804187290458,26.402096177331934,49.21877864074416
deep direct_ingrs_3_branches base,0.8937811913725511,0.7399603429166242,0.7173232193010787,1314.0455894930067,79.49516706632924,150.03309490199996,51.73556748324816,1080.0364759871804,66.47280067624756,124.81629688680529,42.504112343757804,1042.6752984056393,63.94571412257942,122.23767075198027,41.360006989407026,0.6918066038878625,0.5885973541090711,0.5771556229329554,67.08657192861858,6.263006755853055,8.341040812297285,2.6889893455202762,56.702809247582444,5.272856530912684,7.2794150235085695,2.2882816245406596,55.799493699994976,5.143301381391123,7.162782532705386,2.244769172915009,26.480284745205612,49.45733006131583
